"","1","2","3","4","5","6","ID","city","buffer","7","8","total","grey","green","blue"
"122",1330,144,3007,38,1696,0,"GE_RuLx3","GE","Buffer400",0,0,6215,1330,4885,0
"123",3573,212,2298,40,1995,12,"GE_PaLH1","GE","Buffer400",0,0,8130,3585,4545,0
"124",3171,115,1762,14,1210,4,"GE_EsHL1","GE","Buffer400",0,0,6276,3175,3101,0
"125",1241,104,1463,37,2477,0,"GE_RuLx1","GE","Buffer400",373,0,5695,1241,4081,373
"126",5239,87,3819,15,2212,11,"GE_PaHL1","GE","Buffer400",0,0,11383,5250,6133,0
"127",6511,22,1430,1,544,4,"GE_PaHH1","GE","Buffer400",0,0,8512,6515,1997,0
"128",1760,364,2327,15,1614,10,"GE_GaLH2","GE","Buffer400",0,0,6090,1770,4320,0
"129",2728,303,1656,14,1376,10,"GE_RuHx1","GE","Buffer400",0,0,6087,2738,3349,0
"130",3352,146,1445,8,1743,9,"GE_PaLH3","GE","Buffer400",5,0,6708,3361,3342,5
"131",2106,635,2273,48,1966,12,"GE_PaLL2","GE","Buffer400",0,0,7040,2118,4922,0
"132",1213,340,1985,28,3020,14,"GE_EsLL1","GE","Buffer400",0,0,6600,1227,5373,0
"133",484,643,1674,33,2719,6,"GE_GaLH3","GE","Buffer400",0,0,5559,490,5069,0
"134",4998,21,792,0,63,18,"GE_PaHL3","GE","Buffer400",2594,0,8486,5016,876,2594
"135",4271,30,1020,0,394,8,"GE_EsHL2","GE","Buffer400",414,0,6137,4279,1444,414
"136",3408,21,1348,1,439,9,"GE_GaHL2","GE","Buffer400",332,0,5558,3417,1809,332
"137",4573,25,1402,1,222,1,"GE_EsHL3","GE","Buffer400",0,0,6224,4574,1650,0
"138",3521,105,963,4,961,11,"GE_RuHx2","GE","Buffer400",0,0,5565,3532,2033,0
"139",4576,230,264,0,628,20,"GE_GaHL3","GE","Buffer400",0,0,5718,4596,1122,0
"140",1118,210,2433,70,4154,18,"GE_EsLL3","GE","Buffer400",315,0,8318,1136,6867,315
"141",3745,178,1045,13,1073,13,"Ge_RuHx5","GE","Buffer400",0,0,6067,3758,2309,0
"142",3554,507,1094,52,2194,9,"GE_PaLL3","GE","Buffer400",0,0,7410,3563,3847,0
"143",2441,79,1959,7,1137,14,"GE_GaHH2","GE","Buffer400",0,0,5637,2455,3182,0
"144",5889,7,701,0,109,0,"GE_PaHL2","GE","Buffer400",5,0,6711,5889,817,5
"145",6309,133,2061,22,2376,20,"GE_PaHH2","GE","Buffer400",0,0,10921,6329,4592,0
"146",1706,809,1271,27,2872,12,"GE_EsLH3","GE","Buffer400",0,0,6697,1718,4979,0
"147",3712,87,2323,13,1425,3,"GE_EsHH3","GE","Buffer400",0,0,7563,3715,3848,0
"148",1918,354,2302,69,2335,12,"GE_EsLH2","GE","Buffer400",0,0,6990,1930,5060,0
"149",3081,740,771,46,2532,24,"GE_EsLL2","GE","Buffer400",0,0,7194,3105,4089,0
"150",3618,1291,861,6,2315,46,"GE_PaLH2","GE","Buffer400",0,0,8137,3664,4473,0
"151",2639,108,1853,36,1260,5,"GE_EsHH1","GE","Buffer400",0,0,5901,2644,3257,0
"152",1912,71,2325,20,1451,0,"GE_GaLL1","GE","Buffer400",0,0,5779,1912,3867,0
"153",1497,656,1803,31,1694,1,"GE_GaLL3","GE","Buffer400",0,0,5682,1498,4184,0
"154",3013,59,3017,10,717,13,"GE_RuHx6","GE","Buffer400",12,0,6841,3026,3803,12
"155",1374,418,1241,18,1922,13,"GE_RuLx6","GE","Buffer400",943,0,5929,1387,3599,943
"156",2824,345,617,28,2130,84,"GE_RuHx3","GE","Buffer400",29,0,6057,2908,3120,29
"157",1868,231,5043,77,3124,1,"GE_PaLL1","GE","Buffer400",0,0,10344,1869,8475,0
"158",3592,38,1585,3,879,4,"GE_EsHH2","GE","Buffer400",0,0,6101,3596,2505,0
"159",3183,18,3137,1,621,5,"GE_PaHH3","GE","Buffer400",0,0,6965,3188,3777,0
"160",2915,37,2205,5,503,7,"GE_GaHH3","GE","Buffer400",12,0,5684,2922,2750,12
"161",1633,1881,1701,19,2037,157,"GE_RuLx5","GE","Buffer400",0,0,7428,1790,5638,0
"162",1145,163,2365,37,2922,25,"GE_RuLx4","GE","Buffer400",315,0,6972,1170,5487,315
"163",1497,1533,679,54,2175,23,"GE_RuLx2","GE","Buffer400",0,0,5961,1520,4441,0
"164",1312,298,1315,9,1469,12,"GE_EsLH1","GE","Buffer400",2067,0,6482,1324,3091,2067
"165",4110,19,1554,2,319,12,"GE_RuHx4","GE","Buffer400",1,0,6017,4122,1894,1
"166",1158,160,1368,35,2575,0,"GE_GaLL2","GE","Buffer400",403,0,5699,1158,4138,403
"167",3644,64,1244,2,788,18,"GE_GaHL1","GE","Buffer400",0,0,5760,3662,2098,0
"168",3041,127,1469,7,1054,25,"GE_GaHH1","GE","Buffer400",1,0,5724,3066,2657,1
"169",2860,122,734,21,1621,3,"GE_AlHH2","GE","Buffer400",29,0,5390,2863,2498,29
"170",2902,123,766,22,1584,3,"GE_AlHL2","GE","Buffer400",19,0,5419,2905,2495,19
"171",1528,540,1554,9,1776,13,"GE_AlHH3","GE","Buffer400",5,0,5425,1541,3879,5
"172",2922,91,1507,5,940,2,"GE_AlHL1","GE","Buffer400",1,0,5468,2924,2543,1
"173",2413,363,1258,10,1414,12,"GE_AlHL3","GE","Buffer400",5,0,5475,2425,3045,5
"174",1614,1432,750,26,1558,14,"GE_AlLL2","GE","Buffer400",0,0,5394,1628,3766,0
"175",1417,1275,766,38,1860,7,"GE_AlLL3","GE","Buffer400",0,0,5363,1424,3939,0
"176",1493,1178,777,38,1897,7,"GE_AlLH3","GE","Buffer400",0,0,5390,1500,3890,0
"177",1216,1662,820,25,1673,10,"GE_AlLH2","GE","Buffer400",0,0,5406,1226,4180,0
"178",1258,256,1780,64,2021,10,"GE_AlLL1","GE","Buffer400",0,0,5389,1268,4121,0
"179",1152,321,1876,67,2044,10,"GE_AlLH1","GE","Buffer400",0,0,5470,1162,4308,0
"180",3117,78,1461,5,797,2,"GE_AlHH1","GE","Buffer400",1,0,5461,3119,2341,1
"181",12,0,77,3,71,0,"GE_GaLH1","GE","Buffer50",0,0,163,12,151,0
"182",41,16,124,1,73,0,"GE_RuLx3","GE","Buffer50",0,0,255,41,214,0
"183",226,40,253,1,182,7,"GE_PaLH1","GE","Buffer50",0,0,709,233,476,0
"184",192,2,35,0,48,0,"GE_EsHL1","GE","Buffer50",0,0,277,192,85,0
"185",57,2,24,1,91,0,"GE_RuLx1","GE","Buffer50",0,0,175,57,118,0
"186",494,17,580,4,748,8,"GE_PaHL1","GE","Buffer50",0,0,1851,502,1349,0
"187",443,9,325,0,62,1,"GE_PaHH1","GE","Buffer50",0,0,840,444,396,0
"188",20,5,115,1,101,0,"GE_GaLH2","GE","Buffer50",0,0,242,20,222,0
"189",115,5,79,0,44,0,"GE_RuHx1","GE","Buffer50",0,0,243,115,128,0
"190",61,7,157,1,148,0,"GE_PaLH3","GE","Buffer50",0,0,374,61,313,0
"191",204,18,68,0,108,1,"GE_PaLL2","GE","Buffer50",0,0,399,205,194,0
"192",125,13,55,1,158,0,"GE_EsLL1","GE","Buffer50",0,0,352,125,227,0
